id,section,question_text,question_time,candidate_answer_text,candidate_answer_time,expected_answer,type,llm_score,llm_comment,our_comment
1,python,"Изменяемые и неизменяемые типы данных — что это вообще такое, какие типы данных к каким относятся?",00:03:00,"Известны словари, которые единожды прописываем и не меняем; остальные — Series, DataFrame, список — изменяемые. Основные типы: int, float, string, set, tuple, dict, list. Неизменяемые: tuple, set, dict. Изменяемый — list. tuple менять нельзя; set — сложно, не пользовался, не скажу.",00:03:08–00:04:47,"Mutable: list, dict, set, bytearray. Immutable: int, float, bool, str, tuple, frozenset, bytes, None. Идея: у immutable нельзя изменить состояние после создания — модификация создаёт новый объект; mutable меняются in-place при том же id(). Следствия: hashability (immutable как ключ dict/элемент set), копирование, ловушка дефолтных аргументов.",hard skill,2/5,"Правильно: tuple — immutable, list — mutable. Грубые ошибки: dict назван неизменяемым (mutable), set назван неизменяемым (mutable; immutable-аналог frozenset). Изначально путал концепцию (Series/DataFrame отнесены к Python-типам). Не упомянуты критерии (id, hashability). Покрытие неполное.","Согласуется с финальным фидбэком: «1 секция Python — очень сильно не хватает питона». Сигнал: путаница dict/set mutable — отсутствие модели, а не неудачное припоминание. Хороший follow-up — hashability (почему list нельзя в set, а tuple — можно)."
2,python,"Как работает память в Python: как очищается, как выделяется?",00:16:01,"Очистка через garbage collector: идёт по графу, смотрит на ссылки на ячейки памяти; если ссылок нет — собирает. В старых скриптах gc.collect() для принудительного запуска. Выделение для list — резервируется память, при превышении порога резервируется больше; листы могут занимать памяти больше, чем нужно.",00:16:13–00:18:55,"GC = reference counting + cycle collector для циклических ссылок; gc.collect() для принудительного. Для list — over-allocation strategy: capacity растёт по геометрической прогрессии (~1.125x). Дополнительно: weakref, нюансы для классов и __slots__.",hard skill,4/5,"Развёрнутый и в целом корректный ответ. Упомянуты GC, gc.collect, ссылки, list over-allocation. Не назван явно reference counting (косвенно через 'ссылки'), нет cycle collector, weakref. Заметна неуверенность ('наверное'), но фактологически хорошо.","Сильнейший фрагмент Python-секции, контрастирует с провалом по mutable/immutable — вероятно, читал про память специально."
3,python,"Что такое генераторы, итераторы, декораторы. Чем итератор отличается от генератора? Приведи примеры использования.",00:19:00,"Читал, всё знакомо. Декоратор — это когда @-собачка перед функцией. На практике не пользовался.",00:19:18–00:19:43,"Iterator — объект с __iter__/__next__; generator — функция с yield, частный случай итератора (lazy, ленивая, односторонняя). Decorator — функция-обёртка над функцией: @log, @lru_cache, @property, @staticmethod.",hard skill,1/5,"Полный отказ. Кандидат признал знакомство по чтению, но дал только синтаксический маркер декоратора (@). Не объяснил ни одно из понятий, не привёл различие итератор vs генератор.","Честно признался, что не пользовался — нормальная реакция. Сигнал поверхностного знания Python."
4,a/b,"На какие метрики смотреть при оценке эффективности рекомендательной системы?",00:23:23,"CTR (клики), конверсия в покупку — что мы хотим наблюдать.",00:23:23–00:23:55,"Минимум 2 метрики, в идеале больше: CTR, конверсия в покупку, средний чек, revenue per user, retention, time on site. Разделение на product/proxy метрики и guard-rails.",hard skill,3/5,"Назвал минимум 2 (клики и покупки) — базовый порог пройден. Не упомянул бизнес-метрики (revenue, AOV, retention), guard-rails. Интервьюер: 'минимум 2 — клёво, но нужно больше'.","Базовый порог пройден; бизнес-перспектива слабая."
5,a/b,"Как разбивать пользователей на группы для эксперимента?",00:23:55,"Однородные группы: равные доли по полу, возрасту, географии. Проверить однородность через A/A-тест (есть ли значимые различия между группами до эксперимента).",00:23:55–00:25:00,"Stratified sampling по ключевым признакам ИЛИ честный рандом через hash(user_id) % N. Обсудить долю экспериментальной выборки от общего трафика; пропорции (50/50 vs 90/10); понятие unit of randomization (user vs session vs device).",hard skill,3/5,"Идея однородности и A/A-теста озвучена корректно. Не назвал в каких долях разбивать (50/50 vs 90/10), не задал вопрос про объём трафика — явная пропущенная вилка. Stratified sampling не назван термином.","Сильная сторона: A/A. Слабая: ни одного уточняющего вопроса по контексту (трафик, пропорции)."
6,a/b,"Как рассчитать необходимый размер выборки?",00:25:00,"Не вспомню формулу. В калькуляторе вводишь различие, которое хотим заметить, мощность критерия, порог.",00:25:00–00:26:30,"Перечислить параметры: alpha (false positive rate), beta (1 - power), MDE (minimum detectable effect), baseline conversion / variance. n ~ (z_α + z_β)² · 2σ² / Δ². Понимание trade-off: больше power → больше n.",hard skill,2/5,"Назвал часть параметров (мощность, MDE как 'различие'), но без терминологии (alpha, power, MDE). Формулу не вспомнил. Признался.","Понимание есть, операционализировать не может. Для junior приемлемо."
7,a/b,"Какие статистические тесты применять для оценки результатов?",00:26:30,"Параметрический (t-test) или непараметрический (Манн-Уитни) в зависимости от распределения. Для долей — отдельный критерий (формула: t = (p1-p2)/sqrt(p(1-p)/n)). Если распределение ненормальное — логарифмирование или bootstrap для получения нормального через ЦПТ.",00:26:30–00:35:00,"t-test (Welch) для непрерывных нормальных, Mann-Whitney U для непараметрики, χ² или z-test пропорций для долей, bootstrap как универсальный обходной путь. Понимание: разница средних vs разница долей — разные тесты.",hard skill,4/5,"Хорошее покрытие: параметрика/непараметрика, тест долей, bootstrap, ЦПТ. Мелкие огрехи: 'Манн-Уитни' назван как единственный непараметрический (есть Wilcoxon, KS).","Самая сильная часть A/B-секции."
8,a/b,"Какие проверки на нормальность распределения знаешь?",00:33:48,"Шапиро-Уилка. В источниках описывается несколько, говорят что они равнозначны.",00:33:48–00:34:15,"Shapiro-Wilk (стандарт), Kolmogorov-Smirnov (Lilliefors), Anderson-Darling, Jarque-Bera. Визуальная проверка: QQ-plot, гистограмма. Понимание: для больших n тесты слишком чувствительны — лучше QQ-plot.",hard skill,2/5,"Один тест с правильным названием. Признаёт что есть другие. Не назвал K-S, не упомянул визуальный QQ-plot.","Без подсказки — один ответ. Интервьюер советовал 'минимум 2'."
9,a/b,"Почему среднее при бутстрэпе будет нормально распределено?",00:35:30,"Центральная предельная теорема.",00:35:36,"ЦПТ (Central Limit Theorem): распределение средних из выборки стремится к нормальному при n→∞ независимо от исходного распределения. Достаточно для junior; доказательство — бонус.",hard skill,5/5,"Точный короткий ответ — именно то, что ожидается.","Чистый ответ. Интервьюер: 'этого достаточно'."
10,sql,"Чем отличается HAVING от WHERE в SQL?",00:43:07,"HAVING накладывается после GROUP BY, для агрегатов; WHERE — обычные условия. Сначала GROUP BY, потом HAVING.",00:43:07–00:43:34,"WHERE — фильтр строк ДО агрегации; HAVING — фильтр групп ПОСЛЕ агрегации. Порядок: FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY. WHERE не может ссылаться на агрегаты, HAVING — может.",hard skill,3/5,"Базовая идея верна (HAVING после GROUP BY). Изложение размытое из-за качества ASR. Не сказал явно про порядок выполнения и про невозможность WHERE по агрегатам.","Транскрибатор сильно искажает SQL-термины ('грубой' = GROUP BY). Знание есть, формулировка слабая."
